Name,Description,Character,Level
Spies From The Shadows,"100 % of the time, cawing Crows give you a visual cue when you are within a range of 32/40/48 metres.",all killers,1
Spirit Fury,"After breaking 4/3/2 Pallets, the next time you are stunned by a Pallet, The Entity will instantly break it. You still suffer from the stun effect penalty.",Spirit,30
Stridor,Breathing of Survivors in pain is 25/50/50 % louder and regular breathing is 0/0/25 % louder.,Nurse,30
Surveillance,"All regressing Generators will be highlighted by a white Aura . Once regression ends, Generators will be highlighted by a yellow Aura for 8/12/16 seconds.
Noises created by Generator Repairs are audible at an additional 8 metres.",Pig,35
Territorial Imperative,"Survivors' Auras are revealed to you for 3 seconds when they enter the Basement and you are more than 32 metres away from the Basement entrance.
Territorial Imperative can only be triggered once every 60/45/30 seconds.",Huntress,35
Tinkerer,"When a Generator is repaired at 85 %, you receive a noise notification and your Terror Radius is reduced to 0 metres for 8/10/12 seconds.",Hillbilly,40
Thanatophobia,"All Survivors receive penalties to Repair, Healing and Sabotage speeds for each Injured , Dying or hooked Survivor.
1 Injured, Dying or hooked Survivor: 4/5/6 % reduced action speed. 2 Injured, Dying or hooked Survivors: 7/8/9 % reduced action speed. 3 Injured, Dying or hooked Survivors: 10/11/12 % reduced action speed. 4 Injured, Dying or hooked Survivors: 13/14/15 % reduced action speed.",Nurse,35
Unnerving Presence,"Survivors within your Terror Radius have a 6/8/10 % greater chance of triggering Skill Checks when repairing, healing or sabotaging.
Triggered Skill Checks' success zones are reduced by 40/50/60 %.",Trapper,30
Unrelenting,The cool-down of missed attacks is reduced by 20/25/30 %.,all killers,1
Whispers,Sporadically hear the Entity's Whisper when standing within a 48/40/32 metres of a Survivor.,all killers,1
